frame,cx,cy
10,279,462.75
19,279.25,463
20,280.25,463.5
21,280.125,464
22,279.188,463.75
23,279.75,463.5
24,279.438,463.25
26,279.438,463.5
27,279.5,464
28,279.625,464.25
29,279.625,463.75
30,279,463.75
31,279.188,463.5
39,278.625,464
70,649.5,251.5
71,647.5,264.375
72,647.5,271.75
75,631.75,300
76,629.75,310
77,628.25,319.125
78,629.25,323.75
79,627.5,327.75
80,616.875,332.25
81,616.75,332.75
82,618.25,332.5
83,629.5,330
84,632.5,328
85,636,324.625
86,637.25,321.875
87,640.25,319.125
88,643.5,318.75
89,655.75,316.75
90,660.25,318
91,659.5,318
92,665.25,317.875
93,668.25,317.375
94,690.5,314
95,690,314
96,697.75,313.75
97,700.5,311.75
98,719.5,308.25
99,733.75,305.75
100,749.75,303
101,759.5,302
102,769.5,301.25
103,782,299
104,790.25,298.25
105,796.75,297.75
106,803.75,296.5
107,808,294.5
108,813.75,291.25
109,815.5,290.75
110,817.75,290.25
111,819.25,289.5
112,821.5,288.625
113,822.75,286.375
114,825,282.25
115,827.25,279.75
116,830.75,275.5
117,835,272.875
118,839,270
119,845.25,263.75
120,851,258.375
121,859.75,254
122,873.25,248
123,878.5,241.375
124,884.75,233.25
125,891.25,227
126,900,218.625
127,903.75,210
128,905.75,200.25
129,908.25,193
130,909.75,184.5
131,911.25,172.875
132,911,165.25
133,908.5,156
134,906.75,145.75
135,904.5,136.5
136,901.75,130.625
137,898.75,124.25
139,886,108.25
140,877.75,102.625
141,872.75,97.5
142,868.5,93.625
145,842.75,82.375
146,836.5,80.5
149,810,78.375
163,713.75,81.125
168,685.25,81
169,681,81.875
181,615.25,110.75
182,612.25,114.5
187,592.5,137
188,591.25,139.625
189,589.75,142.625
191,591.5,148.625
197,615,172.75
198,617.25,175.625
199,621.25,182.75
200,627,192
201,634.25,215.25
202,641.75,219.75
203,648,220.5
204,661,217.25
205,670.75,216.875
206,677,217.25
207,687.25,211.75
208,692.25,212.5
209,699.75,212.25
210,703.25,211.875
222,812.25,190.5
223,820,192.5
224,825.25,193.5
225,835.5,192
226,839,190.5
227,842.25,186.375
228,843.5,187.25
229,847.25,185.625
230,851.25,180.875
231,855.5,179.25
232,858.5,178.125
233,860.75,176.875
234,867.25,172.25
235,869.5,171
236,872.75,170.875
237,875.5,172
238,878,174
239,881,177.125
240,884.5,180.5
241,887.75,185.875
242,895.75,188.125
243,896.75,192.125
244,897.5,196.25
245,898.5,201.625
246,899.75,209.375
247,900.5,213.75
248,900.75,217.5
249,900,223
250,899.75,227.75
251,898.75,232.375
252,898.75,237.5
253,898,240.75
254,897.25,243.375
255,895.25,248
256,894.5,250.75
257,894,253.125
258,893.25,254.625
259,884,259
260,882.5,261.5
261,880.5,264.75
262,879,268.25
263,878.75,272.75
264,878,275.375
265,877.75,279
266,877.5,282.5
267,876.5,286
268,875.25,288.625
269,873,293.625
270,872.25,297
271,870.75,299.25
272,869.75,302
273,869.25,304.75
274,868.25,307.25
275,867.75,309.125
276,867,311.25
277,858.25,317.125
278,856,318.25
279,853.5,318.375
280,852,316.75
281,850,316.5
282,846.25,316.5
283,843.5,317
284,841.25,317.625
285,839.5,318
286,831,323
287,826.5,322.875
288,823.25,321
289,820.5,319.5
290,817.75,319.375
291,815.5,319.5
292,813.5,319.25
293,811.5,319
294,810,319
295,809,318.875
296,807,318
297,799,322.25
298,795,322.25
299,790.5,321.625
300,786.5,322
301,783.25,321.875
302,781.25,322.25
303,779.5,322.75
304,777.75,323.5
305,776.25,326.75
306,774.5,327.5
307,766.5,331.75
308,763.25,332.25
309,759,333
310,755.25,333
311,753.25,333.5
312,751.75,334
313,749.5,334.5
314,746,335.5
315,743,336.75
316,740,337.25
317,726.5,338
318,720.75,337.25
319,718.25,337
320,714.5,336.25
321,712,336
322,702.75,338.5
323,699,337.25
324,694.75,336
325,690.25,335.25
326,688.25,334.75
327,686.25,334.25
328,683,333
329,680.25,332
330,672.5,334.25
331,668.5,331.5
332,665.5,330
333,662.75,327.5
334,660.5,326.5
335,658.25,324.5
336,655.5,320
337,654.5,318.25
338,653.25,315.5
339,651,312.5
340,649.25,309
341,647.75,305.75
342,646.25,303
343,638.25,304
344,635,301
345,632.5,296.5
346,630,293.875
347,626.75,287.75
348,625.75,285.5
349,624.5,283.125
350,623.75,279.5
351,622.25,276.5
352,620.5,273.625
353,618.75,271.25
354,612.75,270.625
355,610.75,266
356,609,262.5
357,608.5,259.875
358,607.75,255.5
359,606.5,251.25
360,606,248.375
361,605.75,245.75
362,605.75,242
363,605.5,237.375
364,605,234.25
365,605.25,231.375
366,605.5,226.75
367,605,225.5
368,604.5,223
369,604.5,221.5
370,605.5,220.5
371,606.25,220
372,606.75,220.125
373,607.75,217.875
374,609.25,219.625
375,616.25,214.375
376,619,213.75
377,620.75,211.875
378,623,210.125
379,628,210
380,631,211.125
381,634,210.75
382,636.25,209.5
386,649.5,190.75
387,651.75,190.875
388,653.5,191.25
389,655.5,191.75
393,678.5,176.5
394,684.25,174.75
395,690,176.75
396,696.75,177.75
397,707.25,174.5
398,713,174.5
399,720.5,175.75
400,726.75,176.5
401,738.5,173.875
402,742.25,174.125
403,746,174.25
404,749.75,175.25
405,752.5,175.875
406,754.75,175.375
407,756,174.625
408,757.25,173.25
409,762.25,164.375
410,768,167.375
411,767,164.5
414,758.75,157.25
415,750.5,161.75
416,747,160.75
417,743,160.625
418,738.75,160.25
419,735,161.375
420,726.75,158.5
421,716.5,165
422,713.5,163.5
423,708.25,171
424,705.5,175
426,696.75,177.25
429,683.25,191
430,678.5,190.5
431,675,190.25
434,654.25,190.375
435,650.25,189.125
436,647,189.5
437,644.25,188.25
438,641.75,187.5
441,625.75,198
442,622.75,200.5
443,617.75,202.75
444,615,205
445,614,207.75
446,613,208.25
447,612,212.625
448,611,217.75
449,608,225.125
451,594.25,243.375
452,591.25,251.375
453,585.25,262.375
454,580.75,274.375
455,575.75,282
456,564,289.5
457,561.125,302.5
458,556.25,310.75
459,549.625,320.5
460,545.875,331.5
461,535.125,342.25
462,531.125,348.25
463,527.875,352
464,523.125,355
465,521.75,352.5
466,519.875,354
467,519.25,354.75
468,519.25,354.75
469,518.625,355
470,518.5,355.25
471,518.625,355
472,518.625,354.5
473,518,354
474,518,353.5
475,514.125,356.25
476,513.875,355
477,513.75,354
478,514.375,352.5
479,514.375,350.25
480,512.75,344
481,513.125,342
483,512.375,335
484,514.25,333.25
485,515.5,329
486,517,326
487,518.125,324.25
488,519,322.5
489,519.625,319.25
490,520.5,316.5
491,522.5,307.75
492,523.375,305.625
493,524,302.5
494,525.5,301.25
495,525.875,297.75
496,525.75,295.375
497,526.25,292.5
498,526.75,289.375
499,525.875,277.5
500,525.75,269
501,525.625,265.875
502,525.5,261.375
503,526.125,256.5
504,528.125,248.625
505,530.25,245.25
506,532.25,240.5
507,534,237
508,535.25,234.5
509,536.625,231.5
510,538.5,230.75
511,539.75,229.875
512,541.5,229.75
513,544,229.75
514,548.375,229.5
515,553.5,229.25
516,555.875,231
517,558.125,233.25
518,560.5,235.125
520,567.875,241
521,569.5,245.5
522,571.75,250.25
523,575,253.75
524,579,257
525,585,261
526,587.75,266.75
527,589.75,273
528,593.5,279.25
530,603,286.75
531,606.75,291.5
532,612.5,295.25
533,618.5,299.75
534,621,303.75
535,625.25,308.5
537,633,313.5
538,635.5,316.75
539,639.5,319.25
540,645.75,320
541,647.25,322.5
542,648.75,325
543,650,326
544,652,326.25
545,653.75,326.75
546,655.25,326.75
547,656.25,325.75
548,658.75,324.5
549,662,322.25
550,662.5,320.25
551,663.5,318.25
552,665.25,317.5
553,666.75,316.5
554,668.75,315.5
555,669.5,314.25
556,670.5,311.75
557,671.75,310.25
558,672.75,308.5
559,673,308.5
560,673.75,308.25
561,675,307.75
562,676.25,307
563,678.75,304.75
564,680,301.625
565,682,297.5
566,682.75,293.5
567,683.75,289.5
568,683.5,283.125
569,683,274.75
570,683.75,268.5
571,683.75,261.25
572,684,257.5
573,684.5,252
574,683.5,246.875
575,683.5,242.625
576,682.5,240.25
577,681.5,238
578,681.5,235.5
579,682.25,234.375
580,682.75,233
581,683.5,231.25
582,685.25,229.625
583,687.25,228.75
584,690.5,227
585,692.5,224.625
586,695.5,222.75
587,698.25,220.5
588,701.5,219.25
589,708.25,214.5
590,715.25,209.75
591,721,207.5
592,728.25,203.5
593,732.5,200.5
594,741.75,198
595,748.5,195.5
596,756,193.875
597,762,192.25
598,767.75,191.75
599,777.75,191.625
600,783.25,192.25
601,791.25,192.625
602,796.5,193.75
603,805.25,195.75
604,812.25,197.375
605,817.75,199.5
606,825.75,201
607,830,202.875
608,835.75,204.125
609,841.25,205.25
610,845.75,207.5
611,849.5,210.5
614,859.75,220.375
615,862.75,224.625
616,867,229.5
617,869.25,234.375
618,874,235.75
619,876.5,239.5
620,879.75,244.75
621,882,249.25
622,884.75,251
623,886,256.125
624,886.5,262
625,886.25,266.625
626,886,270.25
629,884.75,284.25
630,880.25,290.75
631,877.25,295
632,871,302
633,873.5,303.75
634,872.75,308.5
635,863.75,318
636,862,322.25
637,859.5,323.25
638,847.25,331.5
639,843.25,337.5
640,838.5,340.5
642,832.25,350.75
643,830.5,354.25
644,826.5,353.5
645,811,360.5
646,805.5,363
647,801,368.25
649,784.75,376
650,778.25,378.25
653,759.75,388.5
654,752.25,390.75
655,746.25,393.75
656,740,394
657,737,393
658,734.5,388.75
659,718.25,392.5
660,713.5,394.5
661,707.5,393
662,704.75,393.75
663,702.75,395
664,687,394.75
665,682.25,393.75
666,677.25,393.75
667,673.75,394.5
668,671,394
669,660.5,394.75
670,653,393.5
671,648,394
672,643,394.5
673,639.75,394.25
674,628.5,394.25
675,621.25,395.25
676,616.5,394.25
677,611.5,394.5
678,608.25,393.25
679,597,391.5
680,589.5,389.75
681,584,389
682,580,385.75
683,576.875,383.25
686,562,373.75
687,557.875,369
688,555.75,362.75
689,553.5,358
690,549.5,355
695,535.5,329.75
696,531.625,324.75
697,529.5,321.75
698,528.75,318.75
700,526.25,308
701,524.625,303.5
702,523.375,300.625
703,522,297.5
704,521,294.375
705,519.25,292.5
706,517.875,290.5
707,516.375,288.25
709,516,278.375
710,515.75,273.125
711,515.125,268.625
712,514.75,263.125
719,509.25,227.125
727,494.5,207
731,486.5,200.75
732,485.75,200.125
733,485,201.5
734,484.25,202.75
750,489.75,267.875
751,493.375,274.625
752,496.5,278.125
753,501.125,283.75
754,511.75,288.5
755,516.75,295.25
756,523.75,301.5
757,527.875,305.5
758,536.25,311.125
759,546.125,314
760,554,316.625
761,559,320.75
762,568.5,325.75
